position_noise,position_filtred
 -5167.70, -5182.87
 -5179.39, -5182.87
 -5187.98, -5182.87
 -5180.26, -5182.87
 -5155.12, -5182.87
 -5203.84, -5182.87
 -5184.21, -5182.87
 -5196.76, -5182.87
 -5215.29, -5182.87
 -5202.02, -5182.87
 -5169.76, -5182.87
 -5181.26, -5182.87
 -5181.57, -5182.87
 -5198.30, -5182.87
 -5217.06, -5182.87
 -5162.30, -5182.87
 -5173.29, -5182.87
 -5150.81, -5182.87
 -5201.19, -5182.87
 -5165.76, -5182.87
 -5193.40, -5182.87
 -5173.39, -5182.87
 -5205.86, -5182.87
 -5201.58, -5182.87
 -5230.47, -5182.87
 -5161.66, -5182.87
 -5159.57, -5182.87
 -5185.94, -5182.87
 -5212.72, -5182.87
 -5149.53, -5182.87
 -5166.60, -5182.87
 -5210.83, -5182.87
 -5213.23, -5182.87
 -5180.52, -5182.87
 -5231.44, -5182.87
 -5190.95, -5182.87
 -5147.35, -5182.87
 -5197.95, -5182.87
 -5181.77, -5182.87
 -5209.43, -5182.87
 -5188.07, -5182.87
 -5185.35, -5182.87
 -5151.21, -5182.87
 -5174.28, -5182.87
 -5194.37, -5182.87
 -5208.06, -5182.87
 -5236.12, -5182.87
 -5192.17, -5182.87
 -5204.13, -5182.87
 -5195.28, -5182.87
 -5188.63, -5182.03
 -5175.96, -5182.03
 -5170.75, -5179.76
 -5163.78, -5179.76
 -5163.76, -5176.03
 -5159.45, -5176.03
 -5217.08, -5170.85
 -5190.16, -5170.85
 -5159.16, -5164.19
 -5158.60, -5164.19
 -5156.65, -5156.07
 -5198.14, -5156.07
 -5100.56, -5146.48
 -5118.64, -5146.48
 -5145.32, -5135.42
 -5151.50, -5135.42
 -5124.74, -5122.89
 -5122.29, -5122.89
 -5123.53, -5108.90
 -5090.47, -5108.90
 -5113.09, -5093.44
 -5070.02, -5093.44
 -5066.60, -5077.34
 -5114.53, -5077.34
 -5030.93, -5061.29
 -5080.65, -5061.29
 -5022.01, -5045.28
 -5066.45, -5045.28
 -5040.52, -5029.28
 -5027.12, -5029.28
 -5024.01, -5013.28
 -4991.25, -5013.28
 -5016.38, -4997.28
 -4977.80, -4997.28
 -4999.42, -4981.28
 -5002.73, -4981.28
 -4938.03, -4965.28
 -4978.88, -4965.28
 -4961.68, -4949.28
 -4943.06, -4949.28
 -4920.10, -4933.28
 -4930.89, -4933.28
 -4898.45, -4917.28
 -4931.29, -4917.28
 -4901.75, -4901.28
 -4916.76, -4901.28
 -4923.68, -4885.28
 -4905.52, -4885.28
 -4896.81, -4869.28
 -4896.51, -4869.28
 -4869.95, -4853.28
 -4822.66, -4853.28
 -4830.72, -4837.28
 -4803.08, -4837.28
 -4815.03, -4821.28
 -4833.19, -4821.28
 -4811.90, -4805.28
 -4782.08, -4805.28
 -4805.53, -4789.28
 -4809.41, -4789.28
 -4752.13, -4773.28
 -4786.59, -4773.28
 -4776.89, -4757.28
 -4764.01, -4757.28
 -4726.94, -4741.28
 -4767.85, -4741.28
 -4720.18, -4725.28
 -4765.79, -4725.28
 -4673.33, -4709.28
 -4702.68, -4709.28
 -4709.88, -4693.28
 -4719.82, -4693.28
 -4656.33, -4677.28
 -4713.64, -4677.28
 -4694.59, -4661.28
 -4672.99, -4661.28
 -4643.59, -4645.28
 -4641.08, -4645.28
 -4649.73, -4629.28
