position_noise,position_filtred,real_position,pos1,pos2,pos3
 -5167.70, -5182.87, -2583.85, -5167.70,     0.00,     0.00
 -5179.39, -5182.87, -4312.26, -5179.39, -5167.70,     0.00
 -5187.98, -5182.87, -5181.74, -5187.98, -5179.39, -5167.70
 -5180.26, -5182.87, -5182.69, -5180.26, -5187.98, -5179.39
 -5155.12, -5182.87, -5168.97, -5155.12, -5180.26, -5187.98
 -5203.84, -5182.87, -5183.67, -5203.84, -5155.12, -5180.26
 -5184.21, -5182.87, -5185.90, -5184.21, -5203.84, -5155.12
 -5196.76, -5182.87, -5193.76, -5196.76, -5184.21, -5203.84
 -5215.29, -5182.87, -5203.93, -5215.29, -5196.76, -5184.21
 -5202.02, -5182.87, -5205.57, -5202.02, -5215.29, -5196.76
 -5169.76, -5182.87, -5188.10, -5169.76, -5202.02, -5215.29
 -5181.26, -5182.87, -5180.89, -5181.26, -5169.76, -5202.02
 -5181.57, -5182.87, -5179.50, -5181.57, -5181.26, -5169.76
 -5198.30, -5182.87, -5189.88, -5198.30, -5181.57, -5181.26
 -5217.06, -5182.87, -5204.89, -5217.06, -5198.30, -5181.57
 -5162.30, -5182.87, -5186.55, -5162.30, -5217.06, -5198.30
 -5173.29, -5182.87, -5176.92, -5173.29, -5162.30, -5217.06
 -5150.81, -5182.87, -5160.22, -5150.81, -5173.29, -5162.30
 -5201.19, -5182.87, -5179.75, -5201.19, -5150.81, -5173.29
 -5165.76, -5182.87, -5175.08, -5165.76, -5201.19, -5150.81
 -5193.40, -5182.87, -5185.49, -5193.40, -5165.76, -5201.19
 -5173.39, -5182.87, -5178.79, -5173.39, -5193.40, -5165.76
 -5205.86, -5182.87, -5192.96, -5205.86, -5173.39, -5193.40
 -5201.58, -5182.87, -5198.31, -5201.58, -5205.86, -5173.39
 -5230.47, -5182.87, -5216.74, -5230.47, -5201.58, -5205.86
 -5161.66, -5182.87, -5191.25, -5161.66, -5230.47, -5201.58
 -5159.57, -5182.87, -5172.08, -5159.57, -5161.66, -5230.47
 -5185.94, -5182.87, -5173.10, -5185.94, -5159.57, -5161.66
 -5212.72, -5182.87, -5194.93, -5212.72, -5185.94, -5159.57
 -5149.53, -5182.87, -5176.66, -5149.53, -5212.72, -5185.94
 -5166.60, -5182.87, -5168.60, -5166.60, -5149.53, -5212.72
 -5210.83, -5182.87, -5185.87, -5210.83, -5166.60, -5149.53
 -5213.23, -5182.87, -5204.66, -5213.23, -5210.83, -5166.60
 -5180.52, -5182.87, -5196.47, -5180.52, -5213.23, -5210.83
 -5231.44, -5182.87, -5211.43, -5231.44, -5180.52, -5213.23
 -5190.95, -5182.87, -5202.71, -5190.95, -5231.44, -5180.52
 -5147.35, -5182.87, -5175.90, -5147.35, -5190.95, -5231.44
 -5197.95, -5182.87, -5179.92, -5197.95, -5147.35, -5190.95
 -5181.77, -5182.87, -5181.43, -5181.77, -5197.95, -5147.35
 -5209.43, -5182.87, -5198.29, -5209.43, -5181.77, -5197.95
 -5188.07, -5182.87, -5194.14, -5188.07, -5209.43, -5181.77
 -5185.35, -5182.87, -5190.27, -5185.35, -5188.07, -5209.43
 -5151.21, -5182.87, -5168.74, -5151.21, -5185.35, -5188.07
 -5174.28, -5182.87, -5168.44, -5174.28, -5151.21, -5185.35
 -5194.37, -5182.87, -5180.48, -5194.37, -5174.28, -5151.21
 -5208.06, -5182.87, -5197.86, -5208.06, -5194.37, -5174.28
 -5236.12, -5182.87, -5219.81, -5236.12, -5208.06, -5194.37
 -5192.17, -5182.87, -5209.47, -5192.17, -5236.12, -5208.06
 -5204.13, -5182.87, -5205.48, -5204.13, -5192.17, -5236.12
 -5195.28, -5182.87, -5197.71, -5195.28, -5204.13, -5192.17
 -5188.63, -5182.03, -5193.43, -5188.63, -5195.28, -5204.13
 -5175.96, -5182.03, -5183.40, -5175.96, -5188.63, -5195.28
 -5170.75, -5179.76, -5175.46, -5170.75, -5175.96, -5188.63
 -5163.78, -5179.76, -5168.13, -5163.78, -5170.75, -5175.96
 -5163.76, -5176.03, -5164.93, -5163.76, -5163.78, -5170.75
 -5159.45, -5176.03, -5161.61, -5159.45, -5163.76, -5163.78
 -5217.08, -5170.85, -5188.98, -5217.08, -5159.45, -5163.76
 -5190.16, -5170.85, -5194.01, -5190.16, -5217.08, -5159.45
